model,result,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1
llama3.1,result1,0.58848,0.46743,0.47627,0.46419,0.58889,0.58848,0.58868,0.61971,0.58848,0.60121
llama3.1,result2,0.57668,0.45333,0.44947,0.44499,0.57708,0.57668,0.57688,0.61258,0.57668,0.592
llama3.1,result3,0.5975,0.46451,0.45806,0.457,0.5975,0.5975,0.5975,0.62116,0.5975,0.60743
mistral,result1,0.65788,0.50022,0.48124,0.48798,0.65788,0.65788,0.65788,0.64274,0.65788,0.64753
mistral,result2,0.66135,0.50752,0.48901,0.49577,0.66135,0.66135,0.66135,0.65005,0.66135,0.65313
mistral,result3,0.6662,0.51582,0.49503,0.50245,0.66713,0.6662,0.66667,0.6565,0.6662,0.65832
gemma2,result1,0.61832,0.51121,0.5361,0.51068,0.62004,0.61832,0.61918,0.68328,0.61832,0.64365
gemma2,result2,0.60999,0.50206,0.52057,0.49855,0.61254,0.60999,0.61127,0.68112,0.60999,0.63796
gemma2,result3,0.61416,0.50341,0.51945,0.50039,0.61715,0.61416,0.61565,0.68101,0.61416,0.64088
phi4,result1,0.54754,0.49553,0.49641,0.45161,0.54754,0.54754,0.54754,0.6628,0.54754,0.58448
phi4,result2,0.54615,0.50137,0.49975,0.45448,0.54653,0.54615,0.54634,0.66615,0.54615,0.58443
phi4,result3,0.55378,0.50863,0.51177,0.46298,0.55494,0.55378,0.55436,0.67514,0.55378,0.59241
deepseek-r1:8b,result1,0.61346,0.44586,0.43482,0.43852,0.61346,0.61346,0.61346,0.59996,0.61346,0.60478
deepseek-r1:8b,result2,0.61971,0.46076,0.44097,0.4468,0.62057,0.61971,0.62014,0.60351,0.61971,0.60742
deepseek-r1:8b,result3,0.63151,0.47805,0.45771,0.46358,0.63194,0.63151,0.63173,0.61468,0.63151,0.61865
