model,result,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,avg_time_taken
llama3.1,result1,58.85,46.739999999999995,47.63,46.42,58.89,58.85,58.87,61.970000000000006,58.85,60.12,1.49
llama3.1,result2,57.67,45.33,44.95,44.5,57.709999999999994,57.67,57.69,61.260000000000005,57.67,59.199999999999996,1.51
llama3.1,result3,59.75,46.45,45.81,45.7,59.75,59.75,59.75,62.12,59.75,60.74,1.5
mistral,result1,65.79,50.019999999999996,48.120000000000005,48.8,65.79,65.79,65.79,64.27000000000001,65.79,64.75,1.49
mistral,result2,66.13,50.74999999999999,48.9,49.58,66.13,66.13,66.13,65.0,66.13,65.31,1.5
mistral,result3,66.62,51.580000000000005,49.5,50.239999999999995,66.71000000000001,66.62,66.67,65.64999999999999,66.62,65.83,1.48
gemma2,result1,61.83,51.12,53.61,51.07000000000001,62.0,61.83,61.919999999999995,68.33,61.83,64.36,1.61
gemma2,result2,61.0,50.21,52.059999999999995,49.86,61.25000000000001,61.0,61.129999999999995,68.11,61.0,63.800000000000004,1.63
gemma2,result3,61.419999999999995,50.339999999999996,51.94,50.03999999999999,61.72,61.419999999999995,61.57,68.10000000000001,61.419999999999995,64.09,1.63
phi4,result1,54.75,49.55,49.64,45.16,54.75,54.75,54.75,66.28,54.75,58.45,3.13
phi4,result2,54.61,50.13999999999999,49.97,45.45,54.65,54.61,54.63,66.62,54.61,58.440000000000005,3.12
phi4,result3,55.379999999999995,50.86000000000001,51.18000000000001,46.300000000000004,55.489999999999995,55.379999999999995,55.44,67.51,55.379999999999995,59.24,3.14
deepseek-r1:8b,result1,61.35,44.59,43.480000000000004,43.85,61.35,61.35,61.35,60.0,61.35,60.480000000000004,4.62
deepseek-r1:8b,result2,61.970000000000006,46.08,44.1,44.68,62.06,61.970000000000006,62.01,60.35,61.970000000000006,60.74,4.71
deepseek-r1:8b,result3,63.14999999999999,47.81,45.769999999999996,46.36,63.190000000000005,63.14999999999999,63.17,61.47,63.14999999999999,61.870000000000005,4.75
