model,result,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,avg_time_taken
llama3.1,result1,72.22,54.22,53.33,53.33,72.32,72.22,72.27,69.89999999999999,72.22,70.91,16.2
llama3.1,result2,72.36,53.38,52.93,52.790000000000006,72.56,72.36,72.46000000000001,69.89,72.36,70.99,16.51
llama3.1,result3,72.28999999999999,52.080000000000005,51.580000000000005,51.449999999999996,72.64,72.28999999999999,72.47,69.39,72.28999999999999,70.67,16.94
mistral,result1,66.25,56.56,50.760000000000005,50.760000000000005,66.47999999999999,66.25,66.36999999999999,71.67,66.25,66.94,15.27
mistral,result2,67.22,57.8,53.09,52.470000000000006,67.22,67.22,67.22,72.61999999999999,67.22,67.97,16.41
mistral,result3,66.32000000000001,56.18,50.870000000000005,50.629999999999995,66.32000000000001,66.32000000000001,66.32000000000001,71.37,66.32000000000001,66.85,16.75
gemma2,result1,74.38,59.519999999999996,54.900000000000006,56.64,75.64,74.38,75.0,74.38,74.38,73.86,21.13
gemma2,result2,72.43,57.46,52.42,54.230000000000004,74.02,72.43,73.22,72.78,72.43,71.95,22.93
gemma2,result3,75.07000000000001,60.8,55.800000000000004,57.63,76.02,75.07000000000001,75.53999999999999,74.8,75.07000000000001,74.33,23.13
phi4,result1,70.83,58.14,54.54,55.120000000000005,71.03,70.83,70.93,73.72999999999999,70.83,71.41999999999999,25.79
phi4,result2,70.89999999999999,57.84,55.06999999999999,55.33,70.89999999999999,70.89999999999999,70.89999999999999,74.22999999999999,70.89999999999999,71.88,26.7
phi4,result3,71.39,58.550000000000004,54.75,55.37,71.44,71.39,71.41,74.57000000000001,71.39,72.09,26.95
deepseek-r1:8b,result1,63.260000000000005,47.88,44.89,45.76,63.88,63.260000000000005,63.57000000000001,63.849999999999994,63.260000000000005,63.0,40.29
deepseek-r1:8b,result2,64.03,49.78,46.36,47.260000000000005,64.66,64.03,64.34,65.22,64.03,63.94,42.01
deepseek-r1:8b,result3,64.58,49.99,47.089999999999996,47.78,64.85,64.58,64.72,65.14999999999999,64.58,64.21,40.48
