model,result,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1
llama3.1,result1,0.54494,0.54528,0.50091,0.4476,0.54494,0.54494,0.54494,0.56109,0.54494,0.48465
llama3.1,result2,0.53933,0.59722,0.4957,0.44333,0.53933,0.53933,0.53933,0.59977,0.53933,0.47959
llama3.1,result3,0.56742,0.53481,0.51725,0.45958,0.56742,0.56742,0.56742,0.55215,0.56742,0.50255
mistral,result1,0.51124,0.42034,0.46466,0.40954,0.51412,0.51124,0.51268,0.45354,0.51124,0.45123
mistral,result2,0.52809,0.48919,0.48171,0.43112,0.53107,0.52809,0.52958,0.50881,0.52809,0.47105
mistral,result3,0.52809,0.49382,0.48202,0.43106,0.53107,0.52809,0.52958,0.5142,0.52809,0.47096
gemma2,result1,0.57303,0.61378,0.52419,0.47712,0.57627,0.57303,0.57465,0.61833,0.57303,0.5182
gemma2,result2,0.54494,0.60045,0.49968,0.45433,0.55114,0.54494,0.54802,0.60343,0.54494,0.4924
gemma2,result3,0.55056,0.56683,0.50662,0.46734,0.55367,0.55056,0.55211,0.57708,0.55056,0.50348
phi4,result1,0.53371,0.53208,0.50302,0.48517,0.53371,0.53371,0.53371,0.55438,0.53371,0.51094
phi4,result2,0.55056,0.55362,0.51804,0.49981,0.55056,0.55056,0.55056,0.5729,0.55056,0.52615
phi4,result3,0.51124,0.50327,0.48107,0.45961,0.51124,0.51124,0.51124,0.52934,0.51124,0.48597
deepseek-r1:8b,result1,0.50562,0.52755,0.47464,0.457,0.50562,0.50562,0.50562,0.52852,0.50562,0.47864
deepseek-r1:8b,result2,0.51685,0.60512,0.48067,0.45283,0.51685,0.51685,0.51685,0.59067,0.51685,0.47856
deepseek-r1:8b,result3,0.5,0.45055,0.45955,0.41773,0.5,0.5,0.5,0.47748,0.5,0.45287
