model,script,result,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,avg_time_taken
gemma2,main3,result1,46.93,44.36,47.46,42.11,46.93,46.93,46.93,44.27,46.93,41.73,16.31
gemma2,main4,result1,36.46,35.620000000000005,36.73,34.5,36.46,36.46,36.46,35.58,36.46,34.31,1.7
gemma2,main5_1round,result1,47.64,43.45,47.9,42.47,47.64,47.64,47.64,43.39,47.64,42.28,55.69
gemma2,main5_3rounds,result1,51.46,48.09,51.82,45.89,51.46,51.46,51.46,48.02,51.46,45.63,71.18
gemma2,main5_5rounds,result1,47.1,43.63,47.71,42.48,47.1,47.1,47.1,43.51,47.1,42.06,86.11
llama3.1,main3,result1,47.29,31.96,47.95,38.16,47.29,47.29,47.29,31.47,47.29,37.6,15.31
llama3.1,main4,result1,35.74,23.82,36.28,28.76,35.74,35.74,35.74,23.47,35.74,28.33,1.29
llama3.1,main5_1round,result1,47.1,42.83,47.81,38.58,47.1,47.1,47.1,42.65,47.1,37.98,51.04
llama3.1,main5_3rounds,result1,49.28,42.31,49.76,41.17,49.28,49.28,49.28,42.08,49.28,40.75,60.44
llama3.1,main5_5rounds,result1,47.46,40.64,48.16,39.61,47.46,47.46,47.46,40.36,47.46,39.02,71.16
phi4:14b,main3,result1,43.32,39.81,43.74,38.56,43.32,43.32,43.32,39.66,43.32,38.22,29.52
phi4:14b,main4,result1,38.99,36.57,39.3,34.96,38.99,38.99,38.99,36.42,38.99,34.7,3.34
phi4:14b,main5_1round,result1,43.48,39.62,44.0,39.3,43.48,43.48,43.48,39.42,43.48,38.9,99.99
phi4:14b,main5_3rounds,result1,43.68,39.86,44.080000000000005,39.23,43.68,43.68,43.68,39.69,43.68,38.91,138.7
phi4:14b,main5_5rounds,result1,44.77,40.35,45.21,39.95,44.77,44.77,44.77,40.17,44.77,39.59,178.87
