model,result,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,weighted_precision,weighted_recall,weighted_f1,avg_time_taken
llama3.1,result1,90.45,57.25,58.9,57.96,90.55,90.45,90.5,92.36999999999999,90.45,91.3,14.89
llama3.1,result2,90.61,57.17,58.699999999999996,57.84,90.67,90.61,90.64,92.12,90.61,91.29,14.83
llama3.1,result3,90.8,57.50999999999999,59.050000000000004,58.18,90.86,90.8,90.83,92.47,90.8,91.55,15.06
mistral,result1,88.2,61.91,53.33,56.93,88.22,88.2,88.21,93.25,88.2,90.31,15.08
mistral,result2,88.29,62.22,52.949999999999996,56.74,88.31,88.29,88.3,93.44,88.29,90.36,14.71
mistral,result3,88.74,62.46000000000001,53.559999999999995,57.24,88.78,88.74,88.75999999999999,93.71000000000001,88.74,90.77,14.86
gemma2,result1,93.97999999999999,63.54,58.57,60.77,94.67,93.97999999999999,94.32000000000001,95.63000000000001,93.97999999999999,94.63000000000001,20.04
gemma2,result2,94.01,63.32,58.85,60.86,94.52000000000001,94.01,94.26,95.63000000000001,94.01,94.67999999999999,21.05
gemma2,result3,94.15,63.73,58.60999999999999,60.870000000000005,94.95,94.15,94.55,95.85000000000001,94.15,94.81,21.06
phi4,result1,93.21000000000001,62.63999999999999,58.81999999999999,60.6,93.21000000000001,93.21000000000001,93.21000000000001,95.26,93.21000000000001,94.16,25.04
phi4,result2,92.74,62.56,58.36,60.3,92.74,92.74,92.74,95.12,92.74,93.84,25.77
phi4,result3,92.60000000000001,62.12,58.209999999999994,60.029999999999994,92.64,92.60000000000001,92.62,94.84,92.60000000000001,93.64,25.73
deepseek-r1:8b,result1,76.02,48.52,42.8,45.4,76.78,76.02,76.4,82.53,76.02,79.07,38.18
deepseek-r1:8b,result2,76.87,49.519999999999996,43.03,45.87,77.5,76.87,77.18,83.0,76.87,79.67,39.86
deepseek-r1:8b,result3,76.53999999999999,49.480000000000004,43.169999999999995,46.0,77.19,76.53999999999999,76.86,83.46000000000001,76.53999999999999,79.75999999999999,39.78
