dataset,script,model,accuracy,coverage,macro_f1,macro_precision,macro_recall,weighted_f1,weighted_precision,weighted_recall,micro_f1,micro_precision,micro_recall,supported_acc,refuted_acc,nei_acc,Supported_f1,Supported_precision,Supported_recall,Refuted_f1,Refuted_precision,Refuted_recall,Not Enough Information_f1,Not Enough Information_precision,Not Enough Information_recall
FACTors,main3,gemma2,0.5866666666666667,1.0,0.5372432188506897,0.6104037267080745,0.5866666666666666,0.5372432188506896,0.6104037267080745,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.5866666666666667,0.83,0.78,0.15,0.772093023255814,0.7217391304347827,0.83,0.5977011494252874,0.484472049689441,0.78,0.24193548387096772,0.625,0.15
FACTors,main3,llama3.1,0.53,1.0,0.4322222222222223,0.3833333333333333,0.5299999999999999,0.4322222222222223,0.38333333333333336,0.53,0.53,0.53,0.53,0.71,0.88,0.0,0.7100000000000001,0.71,0.71,0.5866666666666667,0.44,0.88,0.0,0.0,0.0
FACTors,main3,phi4:14b,0.5333333333333333,1.0,0.4739483317163269,0.49949787877770263,0.5333333333333333,0.47394833171632683,0.4994978787777025,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.73,0.79,0.08,0.7087378640776699,0.6886792452830188,0.73,0.5830258302583026,0.4619883040935672,0.79,0.13008130081300814,0.34782608695652173,0.08
FACTors,main4,gemma2,0.44666666666666666,1.0,0.42697688610313284,0.43601834573502957,0.4466666666666667,0.4269768861031327,0.4360183457350295,0.44666666666666666,0.44666666666666666,0.44666666666666666,0.44666666666666666,0.6,0.56,0.18,0.5797101449275363,0.5607476635514018,0.6,0.4628099173553719,0.39436619718309857,0.56,0.2384105960264901,0.35294117647058826,0.18
FACTors,main4,llama3.1,0.46,1.0,0.3766903908735839,0.6572649572649573,0.46,0.3766903908735839,0.6572649572649573,0.46,0.46,0.46,0.46,0.6,0.77,0.01,0.5882352941176471,0.5769230769230769,0.6,0.5220338983050848,0.39487179487179486,0.77,0.019801980198019802,1.0,0.01
FACTors,main4,phi4:14b,0.43333333333333335,1.0,0.4009724060154305,0.4276016785815584,0.4333333333333333,0.40097240601543044,0.42760167858155834,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.46,0.7,0.14,0.4867724867724868,0.5168539325842697,0.46,0.5147058823529412,0.4069767441860465,0.7,0.20143884892086333,0.358974358974359,0.14
FACTors,main5_1round,gemma2,0.5733333333333334,1.0,0.5190693084052492,0.5974079142833749,0.5733333333333333,0.5190693084052493,0.5974079142833748,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.82,0.77,0.13,0.7522935779816514,0.6949152542372882,0.82,0.5900383141762453,0.4782608695652174,0.77,0.21487603305785125,0.6190476190476191,0.13
FACTors,main5_1round,llama3.1,0.5566666666666666,1.0,0.45787619302470794,0.4062625050020008,0.5566666666666666,0.45787619302470794,0.4062625050020008,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.78,0.89,0.0,0.7722772277227723,0.7647058823529411,0.78,0.6013513513513514,0.45408163265306123,0.89,0.0,0.0,0.0
FACTors,main5_1round,phi4:14b,0.54,1.0,0.4830515118968333,0.5344877344877345,0.54,0.4830515118968334,0.5344877344877345,0.54,0.54,0.54,0.54,0.76,0.76,0.1,0.7102803738317756,0.6666666666666666,0.76,0.5735849056603773,0.46060606060606063,0.76,0.1652892561983471,0.47619047619047616,0.1
FACTors,main5_3rounds,gemma2,0.5566666666666666,1.0,0.49624585861193576,0.5353302611367128,0.5566666666666666,0.4962458586119359,0.5353302611367127,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.5566666666666666,0.84,0.73,0.1,0.75,0.6774193548387096,0.84,0.5748031496062992,0.474025974025974,0.73,0.16393442622950818,0.45454545454545453,0.1
